Name,Critical_Temperature,Critical_Temp_unit,Critical_Pressure,Critical_pressure_unit,Critical_Volume,Critical_vol_unit,Critical_Compressibility,Boiling_point,Boiling_point_unit,Mol_wt,Liquid_volume_at_BP,Liquid_vol_unit_at_BP,AcentricityFactor,Heat_of_Formation,Heat_of_Formation_unit,Gibbs_Energy_Of_Formation,Gibbs_Energy_Of_Formation_unit,Heat_of_combustion,Heat_of_combustion_unit,Lq_Den_A,Lq_Den_B,Lq_Den_C,Lq_Den_D,Lq_Den_Tmin,Lq_Den_Tmax,Lq_Den_unit,Vap_P_A,Vap_P_B,Vap_P_C,Vap_P_D,Vap_P_E,Vap_P_Tmin,Vap_P_Tmax,Vap_P_unit,Liq_Cp_A,Liq_Cp_B,Liq_Cp_C,Liq_Cp_D,Liq_Cp_E,Liq_Cp_Tmin,Liq_Cp_Tmax,Liq_Cp_unit,Gas_Cp_A,Gas_Cp_B,Gas_Cp_C,Gas_Cp_D,Gas_Cp_E,Gas_Cp_Tmin,Gas_Cp_Tmax,Gas_Cp_unit,Liq_vis_A,Liq_vis_B,Liq_vis_C,Liq_vis_D,Liq_vis_E,Liq_vis_Tmin,Liq_vis_Tmax,Liq_vis_unit,Liq_Therm_con_A,Liq_Therm_con_B,Liq_Therm_con_C,Liq_Therm_con_D,Liq_Therm_con_E,Liq_Therm_con_Tmin,Liq_Therm_con_Tmax,Liq_Therm_con_unit,Vap_Therm_con_A,Vap_Therm_con_B,Vap_Therm_con_C,Vap_Therm_con_D,Vap_Therm_con_Tmin,Vap_Therm_con_Tmax,Vap_Therm_con_unit,Heat_of_vap_A,Heat_of_vap_B,Heat_of_vap_C,Heat_of_vap_D,Heat_of_vap_E,Heat_of_vap_Tmin,Heat_of_vap_Tmax,Heat_of_vap_unit
Ethylcyclopentane,569.5,K,3397000.0,Pa,0.375,m3/kmol,0.269,376.59,K,98.1861,0.12883,m3/kmol,0.27,-126900000.0,J/kmol,44800000.0,J/kmol,-4283900000.0,J/kmol,0.72259,0.26996,569.5,0.2784,134.71,546.62,kmol/m3,95.769,-7366.4,-11.099,8.1e-06,2.0,134.71,569.5,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.78221E+07,0.856257,-0.338119,-0.391894,0.299953,134.71,546.62,J/kmol
1-heptene,537.3,K,2920000.0,Pa,0.409,m3/kmol,0.267,366.79,K,98.1861,0.14177,m3/kmol,0.343,-62890000.0,J/kmol,94820000.0,J/kmol,-4349900000.0,J/kmol,0.26107,0.16952,537.3,0.1874,154.12,536.53,kmol/m3,109.918,-7605.67,-13.4323,1.23e-05,2.0,154.12,537.4,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.63137E+07,1.14539,-1.73144,1.61594,-0.650835,154.12,517.23,J/kmol
N-heptane,540.2,K,2740000.0,Pa,0.428,m3/kmol,0.261,371.57,K,100.202,0.14747,m3/kmol,0.35,-187650000.0,J/kmol,8165000.0,J/kmol,-4464730000.0,J/kmol,0.57043,0.25304,540.2,0.27335,182.57,540.2,kmol/m3,89.8046,-7084.85,-10.1792,7.44e-06,2.0,182.57,540.2,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,4.27576E+07,-1.05124,4.60171,-5.55895,2.3695,182.57,540.2,J/kmol
Styrene,636.0,K,3840000.0,Pa,0.352,m3/kmol,0.256,418.31,K,104.149,0.115667,m3/kmol,0.297097,147400000.0,J/kmol,213900000.0,J/kmol,-4219000000.0,J/kmol,0.57789,0.23139,640.77,0.26351,242.54,640.76,kmol/m3,98.7296,-8792.53,-10.9742,0.0,0.0,242.54,636.0,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.11062E+08,3.42928,-6.06105,4.60558,-1.40823,242.54,615.29,J/kmol
Ethylbenzene,617.15,K,3609000.0,Pa,0.374,m3/kmol,0.263,409.36,K,106.165,0.12308,m3/kmol,0.304,29920000.0,J/kmol,130730000.0,J/kmol,-4344800000.0,J/kmol,0.66155,0.25394,617.21,0.27883,163.1,617.2,kmol/m3,137.509,-9745.07,-17.3446,1.28e-05,2.0,178.2,617.2,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.99073E+07,0.380483,1.0943,-2.18554,1.1369,178.15,594.05,J/kmol
M-xylene,617.0,K,3541000.0,Pa,0.375,m3/kmol,0.259,412.34,K,106.165,0.12347,m3/kmol,0.327,17320000.0,J/kmol,118760000.0,J/kmol,-4331800000.0,J/kmol,0.68902,0.26086,617.0,0.27479,225.3,617.0,kmol/m3,97.968,-8164.7,-11.269,7.21e-06,2.0,225.3,617.05,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.9562E+07,0.67841,-0.38938,0.0061115,0.10219,225.3,617,J/kmol
O-xylene,630.3,K,3732000.0,Pa,0.37,m3/kmol,0.263,417.59,K,106.165,0.12125,m3/kmol,0.312,19080000.0,J/kmol,122000000.0,J/kmol,-4333000000.0,J/kmol,0.69962,0.26143,630.3,0.27365,247.98,630.3,kmol/m3,88.0822,-7844.79,-9.73842,5.71e-06,2.0,247.98,630.33,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,6.6979E+07,1.259,-1.849,1.5198,-0.50455,247.98,612,J/kmol
P-xylene,616.2,K,3511000.0,Pa,0.378,m3/kmol,0.259,411.53,K,106.165,0.12393,m3/kmol,0.322,18030000.0,J/kmol,121400000.0,J/kmol,-4333000000.0,J/kmol,0.67752,0.25887,616.2,0.27596,286.41,616.2,kmol/m3,97.352,-8082.1,-11.197,7.26e-06,2.0,282.99,616.23,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.6332E+07,0.37965,0.42395,-0.85683,0.43704,286.41,616.2,J/kmol
Ethylcyclohexane,609.15,K,3040000.0,Pa,0.43,m3/kmol,0.258,404.945,K,112.213,0.143036,m3/kmol,0.245525,-171500000.0,J/kmol,39550000.0,J/kmol,-4870510000.0,J/kmol,0.61774,0.26525,609.15,0.28064,161.84,609.15,kmol/m3,80.6043,-7221.85,-8.66152,4.62e-06,2.0,161.84,609.15,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,6.1066E+07,1.1095,-1.6401,1.5232,-0.54256,161.84,609.15,J/kmol
N-propylcyclopentane,596.0,K,3020000.0,Pa,0.428,m3/kmol,0.261,404.11,K,112.213,0.145193,m3/kmol,0.326642,-148100000.0,J/kmol,53440000.0,J/kmol,-4893560000.0,J/kmol,0.63061,0.26934,596.0,0.28169,155.81,572.83,kmol/m3,95.3951,-7846.54,-10.9384,7.33e-06,2.0,155.81,596.0,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,7.0881E+07,1.47769,-1.91931,1.21986,-0.332624,155.81,572.83,J/kmol
N-octane,568.7,K,2490000.0,Pa,0.492,m3/kmol,0.259,398.82,K,114.229,0.16353,m3/kmol,0.397,-208750000.0,J/kmol,16000000.0,J/kmol,-5074150000.0,J/kmol,0.4436,0.23818,568.77,0.25171,216.38,568.76,kmol/m3,87.4607,-7578.2,-9.65721,5.66e-06,2.0,216.0,568.74,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,6.5091E+07,0.906328,-0.61829,0.0251605,0.114898,216.38,568.7,J/kmol
"2,2,3-trimethylpentane",563.4,K,2730000.0,Pa,0.436,m3/kmol,0.254,382.99,K,114.229,0.16043,m3/kmol,0.298,-219950000.0,J/kmol,17726000.0,J/kmol,-5067540000.0,J/kmol,0.53892,0.263,563.51,0.24185,160.89,563.5,kmol/m3,87.5067,-7031.24,-9.8633,7.13e-06,2.0,160.89,563.5,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,6.03013E+07,1.05396,-0.826185,0.00124096,0.214352,160.89,542.31,J/kmol
"2,2,4-trimethylpentane",543.9,K,2570000.0,Pa,0.4697,m3/kmol,0.266,372.39,K,114.229,0.16607,m3/kmol,0.304,-224010000.0,J/kmol,13940000.0,J/kmol,-5065280000.0,J/kmol,0.48523,0.24924,543.9,0.25602,165.78,543.89,kmol/m3,83.7104,-6701.6,-9.31219,6.81e-06,2.0,165.78,543.89,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,4.633E+07,0.37451,-0.066775,-0.010135,0.080832,165.78,543.8,J/kmol
"2,3,3-trimethylpentane",573.5,K,2820000.0,Pa,0.4551,m3/kmol,0.269,387.92,K,114.229,0.15815,m3/kmol,0.291,-218450000.0,J/kmol,18280000.0,J/kmol,-5068760000.0,J/kmol,0.56592,0.26622,573.5,0.26429,172.22,573.5,kmol/m3,82.8752,-6894.75,-9.15013,6.43e-06,2.0,172.22,573.5,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.83816E+07,1.05938,-1.23469,0.816701,-0.225175,172.22,573.5,J/kmol
"2,3,4-trimethylpentane",566.3,K,2730000.0,Pa,0.4562,m3/kmol,0.267,386.62,K,114.229,0.15974,m3/kmol,0.316,-217320000.0,J/kmol,19000000.0,J/kmol,-5069430000.0,J/kmol,0.44061,0.23657,566.41,0.23009,163.95,566.4,kmol/m3,83.4194,-6957.08,-9.20733,6.38e-06,2.0,163.95,566.4,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.6943E+07,0.86512,-0.77048,0.30586,0.021601,163.95,545.22,J/kmol
