Name,Critical_Temperature,Critical_Temp_unit,Critical_Pressure,Critical_pressure_unit,Critical_Volume,Critical_vol_unit,Critical_Compressibility,Boiling_point,Boiling_point_unit,Mol_wt,Liquid_volume_at_BP,Liquid_vol_unit_at_BP,AcentricityFactor,Heat_of_Formation,Heat_of_Formation_unit,Gibbs_Energy_Of_Formation,Gibbs_Energy_Of_Formation_unit,Heat_of_combustion,Heat_of_combustion_unit,Lq_Den_A,Lq_Den_B,Lq_Den_C,Lq_Den_D,Lq_Den_Tmin,Lq_Den_Tmax,Lq_Den_unit,Vap_P_A,Vap_P_B,Vap_P_C,Vap_P_D,Vap_P_E,Vap_P_Tmin,Vap_P_Tmax,Vap_P_unit,Liq_Cp_A,Liq_Cp_B,Liq_Cp_C,Liq_Cp_D,Liq_Cp_E,Liq_Cp_Tmin,Liq_Cp_Tmax,Liq_Cp_unit,Gas_Cp_A,Gas_Cp_B,Gas_Cp_C,Gas_Cp_D,Gas_Cp_E,Gas_Cp_Tmin,Gas_Cp_Tmax,Gas_Cp_unit,Liq_vis_A,Liq_vis_B,Liq_vis_C,Liq_vis_D,Liq_vis_E,Liq_vis_Tmin,Liq_vis_Tmax,Liq_vis_unit,Liq_Therm_con_A,Liq_Therm_con_B,Liq_Therm_con_C,Liq_Therm_con_D,Liq_Therm_con_E,Liq_Therm_con_Tmin,Liq_Therm_con_Tmax,Liq_Therm_con_unit,Vap_Therm_con_A,Vap_Therm_con_B,Vap_Therm_con_C,Vap_Therm_con_D,Vap_Therm_con_Tmin,Vap_Therm_con_Tmax,Vap_Therm_con_unit,Heat_of_vap_A,Heat_of_vap_B,Heat_of_vap_C,Heat_of_vap_D,Heat_of_vap_E,Heat_of_vap_Tmin,Heat_of_vap_Tmax,Heat_of_vap_unit
Air,132.45,K,3774000.0,Pa,0.09147,m3/kmol,0.313,78.67,K,28.96,0.0329147,m3/kmol,0.0,0.0,J/kmol,0.0,J/kmol,0.0,J/kmol,2.6731,0.25637,132.51,0.26788,59.15,132.5,kmol/m3,14.794,-599.85,1.0009,-3.99e-07,2.0,59.15,132.5,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,7.38565E+06,0.276676,0.211253,-0.836764,0.722737,59.15,132.45,J/kmol
Argon,150.86,K,4898000.0,Pa,0.07457,m3/kmol,0.291,87.27,K,39.948,0.0291,m3/kmol,-0.002,0.0,J/kmol,0.0,J/kmol,0.0,J/kmol,3.803,0.286,150.86,0.2984,83.78,150.86,kmol/m3,44.369,-1126.1,-4.5688,6.23e-05,2.0,78.65,150.86,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,7.981E+06,0.099752,0.32009,-0.11898,0.031141,83.78,147.33,J/kmol
Bromine,584.15,K,10300000.0,Pa,0.135,m3/kmol,0.286,331.9,K,159.808,0.0514795,m3/kmol,0.128997,30910000.0,J/kmol,3140000.0,J/kmol,0.0,J/kmol,2.0603,0.28982,584.15,0.28948,265.85,584.15,kmol/m3,63.657,-5321.6,-6.3199,5.44e-06,2.0,265.15,584.15,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,3.8419E+07,-0.26282,2.1808,-2.7529,1.1823,265.85,584.15,J/kmol
Carbon tetrachloride,556.3,K,4557000.0,Pa,0.276,m3/kmol,0.271,349.79,K,153.823,0.09707,m3/kmol,0.187,-95810000.0,J/kmol,-53540000.0,J/kmol,-265300000.0,J/kmol,1.0721,0.28328,556.3,0.30092,250.33,554.7,kmol/m3,82.671,-6304.2,-9.2247,7.44e-06,2.0,213.45,556.35,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,3.1764E+07,-1.5729,5.2158,-5.5259,2.1931,250.33,553.15,J/kmol
Carbon monoxide,132.85,K,3494000.0,Pa,0.0931,m3/kmol,0.292,81.66,K,28.0101,0.03488,m3/kmol,0.045,-110530000.0,J/kmol,-137150000.0,J/kmol,-283000000.0,J/kmol,2.2423,0.2437,132.93,0.24196,68.13,132.92,kmol/m3,42.283,-1035.1,-4.2012,6.25e-05,2.0,64.07,132.92,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,8.585E+06,0.4921,-0.326,0.2231,0,68.13,132.5,J/kmol
Carbon dioxide,304.21,K,7383000.0,Pa,0.094,m3/kmol,0.274,,,44.0095,0.0616782,m3/kmol,0.223621,-393510000.0,J/kmol,-394370000.0,J/kmol,0.0,J/kmol,2.768,0.26212,304.21,0.2908,216.58,304.21,kmol/m3,95.478,-4070.0,-12.07,2.95e-05,2.0,216.4,304.21,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.1092E+07,0.35366,-0.46134,0.43554,0.037671,216.58,304.21,J/kmol
Carbon disulfide,552.0,K,7900000.0,Pa,0.16,m3/kmol,0.275,319.375,K,76.1407,0.0606387,m3/kmol,0.110697,116900000.0,J/kmol,66800000.0,J/kmol,-1076900000.0,J/kmol,1.7976,0.28757,552.0,0.32269,161.11,552.0,kmol/m3,52.6204,-4546.02,-4.74425,4.88e-06,2.0,161.11,552.0,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,3.9758E+07,0.68679,0.18227,-1.7985,1.3658,161.11,552,J/kmol
Phosgene,455.0,K,5674200.0,Pa,0.19,m3/kmol,0.285,280.71,K,98.9161,0.0597955,m3/kmol,0.201309,-218900000.0,J/kmol,-204790000.0,J/kmol,-174600000.0,J/kmol,1.4691,0.2768,455.0,0.27965,145.37,438.7,kmol/m3,81.0357,-5112.11,-9.26705,1.2e-05,2.0,145.37,455.15,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,4.36725E+07,1.08182,-0.773774,-0.1937,0.317951,145.37,438.7,J/kmol
Trichloroacetyl chloride,604.0,K,4320000.0,Pa,0.3408,m3/kmol,0.293,391.15,K,181.833,0.112961,m3/kmol,0.282386,-239800000.0,J/kmol,-180000000.0,J/kmol,-506200000.0,J/kmol,0.76674,0.26122,604.0,0.28678,216.2,604.0,kmol/m3,174.962,-10592.7,-23.4562,2.38e-05,2.0,216.2,604.0,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.44933E+08,7.45895,-20.2051,23.0484,-9.79395,216.2,604,J/kmol
Hydrogen chloride,324.69,K,8310000.0,Pa,0.081,m3/kmol,0.249,188.15,K,36.4609,0.03028,m3/kmol,0.126,-92310000.0,J/kmol,-95300000.0,J/kmol,-28600000.0,J/kmol,2.3619,0.23301,324.69,0.25076,158.97,324.44,kmol/m3,138.256,-4825.25,-19.7367,6.51e-05,2.0,142.85,324.65,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.9563E+07,-0.79988,3.8907,-4.9768,2.2266,158.97,324.65,J/kmol
Chlorine,417.0,K,7700000.0,Pa,0.124,m3/kmol,0.275,239.12,K,70.906,0.04536,m3/kmol,0.073,0.0,J/kmol,0.0,J/kmol,0.0,J/kmol,1.8293,0.25,417.16,0.26753,172.12,417.15,kmol/m3,45.776,-3292.7,-3.7926,4.99e-06,2.0,169.02,417.15,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.9601E+07,0.77334,-1.0279,0.93368,-0.2926,172.12,416.75,J/kmol
Hydrogen iodide,423.85,K,8310000.0,Pa,0.1219,m3/kmol,0.287,237.55,K,127.912,0.0507575,m3/kmol,0.0380703,26500000.0,J/kmol,1716000.0,J/kmol,-116200000.0,J/kmol,0.29008,0.10272,423.85,0.12802,222.38,422.0,kmol/m3,48.208,-3309.5,-4.2202,5.89e-06,2.0,217.95,423.85,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,4.5057E+07,2.4036,-3.4166,1.5877,-0.0027034,222.38,416.26,J/kmol
Hydrogen,33.19,K,1313000.0,Pa,0.064147,m3/kmol,0.305,20.39,K,2.01588,0.0285681,m3/kmol,-0.215993,0.0,J/kmol,0.0,J/kmol,-241820000.0,J/kmol,2.9613,0.25981,33.19,0.19104,13.84,33.18,kmol/m3,13.05,-97.534,1.0355,0.00031816,2.0,13.08,33.19,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.5347E+06,3.214,-8.4567,8.4646,-2.8057,13.95,32.62,J/kmol
Water,647.14,K,22064000.0,Pa,0.05595,m3/kmol,0.229,373.15,K,18.0153,0.01807,m3/kmol,0.344,-241814000.0,J/kmol,-228590000.0,J/kmol,,,32.5162,-3.213,7.92411,-7.3599,253.1,647.29,kmol/m3,74.555,-7295.59,-7.44245,4.29e-06,2.0,263.15,647.29,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.964E+07,0.86515,-1.1134,0.67764,-0.026925,273.15,647.28,J/kmol
Hydrogen sulfide,373.53,K,8962910.0,Pa,0.0985,m3/kmol,0.284,212.8,K,34.0809,0.0438045,m3/kmol,0.0941677,-20630000.0,J/kmol,-33440000.0,J/kmol,-518000000.0,J/kmol,2.3565,0.25354,373.53,0.26514,187.66,373.4,kmol/m3,48.3487,-3078.43,-4.22963,6.84e-06,2.0,177.19,373.56,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.7198E+07,0.69517,-0.69951,0.51422,-0.11694,173.15,363.75,J/kmol
Ammonia,405.4,K,11353000.0,Pa,0.07247,m3/kmol,0.255,239.82,K,17.0305,0.02496,m3/kmol,0.256,-45898000.0,J/kmol,-16400000.0,J/kmol,-316830000.0,J/kmol,4.0518,0.27129,405.4,0.31349,195.0,405.15,kmol/m3,62.8849,-4136.86,-6.32066,9.2e-06,2.0,191.24,406.05,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.4542E+07,-1.3178,4.7194,-5.4808,2.4196,195.41,403.15,J/kmol
Neon,44.4,K,2653000.0,Pa,0.0417,m3/kmol,0.3,27.09,K,20.1797,0.0167622,m3/kmol,-0.0395988,0.0,J/kmol,0.0,J/kmol,0.0,J/kmol,7.3718,0.3067,44.4,0.2786,24.56,44.4,kmol/m3,29.459,-269.41,-2.5349,0.00051726,2.0,23.45,44.4,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.4209E+06,-0.63029,-0.0022325,1.6268,-0.7611,24.54,44,J/kmol
Nitric acid,520.0,K,6890100.0,Pa,0.145,m3/kmol,0.231,356.15,K,63.0128,0.041734,m3/kmol,0.714406,-134300000.0,J/kmol,-74010000.0,J/kmol,13400000.0,J/kmol,6.9293,0.47274,520.0,0.49837,231.55,373.15,kmol/m3,26.654,-5017.1,-0.036699,-6.48e-06,2.0,231.55,376.1,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,7.01E+07,0.68707,-0.0019914,0.0028792,-0.0014403,231.55,359.15,J/kmol
Nitric oxide,180.0,K,6480000.0,Pa,0.058,m3/kmol,0.251,121.38,K,30.0061,0.02344,m3/kmol,0.582,90250000.0,J/kmol,86570000.0,J/kmol,-90248900.0,J/kmol,2.1354,0.19686,180.16,0.15443,109.5,180.15,kmol/m3,98.6752,-3011.48,-13.2112,7.21e-05,2.0,106.16,180.15,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.4721E+07,2.2365,-5.8672,6.8169,-2.7529,109.5,176.43,J/kmol
Nitrogen dioxide,431.15,K,10132500.0,Pa,0.08249,m3/kmol,0.233,294.15,K,46.0055,0.031997,m3/kmol,0.851088,33180000.0,J/kmol,51328000.0,J/kmol,-33095400.0,J/kmol,2.2179,0.22994,431.38,0.19006,261.9,431.37,kmol/m3,18.404,-3508.6,0.81255,5e-06,2.0,252.77,431.37,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.37E+07,0.3,0,0,0,291.15,431.15,J/kmol
Nitrogen,126.2,K,3398000.0,Pa,0.0901,m3/kmol,0.289,77.35,K,28.0134,0.03484,m3/kmol,0.037,0.0,J/kmol,0.0,J/kmol,0.0,J/kmol,2.435,0.25137,126.27,0.249,63.15,126.26,kmol/m3,42.3295,-965.977,-4.32177,7.97e-05,2.0,60.81,126.26,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.7284E+07,7.8021,-19.125,19.518,-7.5428,63.15,126.26,J/kmol
Nitrous oxide,309.6,K,7255000.0,Pa,0.097,m3/kmol,0.273,184.67,K,44.0128,0.0359,m3/kmol,0.162,82050000.0,J/kmol,104160000.0,J/kmol,-82048200.0,J/kmol,2.0978,0.2338,309.6,0.25899,182.3,309.55,kmol/m3,50.6966,-2836.47,-4.60994,7.24e-06,2.0,179.17,309.57,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,2.58556E+07,0.982629,-2.29231,3.36983,-1.65657,182.3,309.57,J/kmol
Oxygen,154.58,K,5043000.0,Pa,0.07337,m3/kmol,0.288,90.17,K,31.9988,0.02785,m3/kmol,0.022,0.0,J/kmol,0.0,J/kmol,0.0,J/kmol,2.6097,0.23614,154.78,0.23695,54.35,154.77,kmol/m3,40.5549,-1120.54,-3.77611,4.85e-05,2.0,54.35,154.8,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.0672E+07,1.5661,-3.4356,3.5416,-1.2718,54.36,154.58,J/kmol
Sulfur dioxide,430.75,K,7884100.0,Pa,0.122,m3/kmol,0.269,263.13,K,64.0638,0.04688,m3/kmol,0.245381,-296840000.0,J/kmol,-300120000.0,J/kmol,0.0,J/kmol,1.8477,0.24254,430.75,0.27051,197.67,430.75,kmol/m3,53.5277,-4260.12,-4.67043,3.03e-06,2.0,195.12,430.75,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,4.8914E+07,1.8091,-2.9053,2.2271,-0.64793,197.67,430.75,J/kmol
Sulfur trioxide,490.85,K,8210000.0,Pa,0.127,m3/kmol,0.255,317.9,K,80.0632,0.0420954,m3/kmol,0.42396,-395720000.0,J/kmol,-370950000.0,J/kmol,142200000.0,J/kmol,1.6186,0.20129,490.85,0.42123,289.95,490.85,kmol/m3,351.6,-18247.4,-49.7706,4.09e-05,2.0,234.15,490.85,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,8.1339E+07,0.77728,-0.42427,0.68287,-0.4608,289.94,490.85,J/kmol
Chloroform,536.5,K,5500000.0,Pa,0.24,m3/kmol,0.296,334.33,K,119.378,0.08068,m3/kmol,0.226,-102900000.0,J/kmol,-70100000.0,J/kmol,-380000000.0,J/kmol,0.53556,0.18404,536.5,0.18541,209.0,535.95,kmol/m3,99.9151,-6781.56,-11.9387,1.16e-05,2.0,207.15,536.4,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.1382E+07,0.7027,0.36748,-1.351,0.69236,209.63,536.4,J/kmol
Hydrogen cyanide,456.65,K,5390000.0,Pa,0.139,m3/kmol,0.197,298.85,K,27.0253,0.0397695,m3/kmol,0.409913,135143000.0,J/kmol,124725000.0,J/kmol,-623290000.0,J/kmol,1.3163,0.18425,456.65,0.2794,259.83,456.65,kmol/m3,42.701,-4001.5,-3.20873,5.62e-06,2.0,254.07,456.75,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,4.5225E+07,2.0549,-4.7432,4.7996,-1.8366,223.15,456.65,J/kmol
Formaldehyde,408.0,K,6590000.0,Pa,0.115,m3/kmol,0.223,254.05,K,30.026,0.04097,m3/kmol,0.281846,-108600000.0,J/kmol,-102600000.0,J/kmol,-526800000.0,J/kmol,1.9413,0.22308,408.0,0.28569,181.15,396.06,kmol/m3,62.0792,-4207.67,-6.20229,5.52e-06,2.0,163.7,408.0,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,3.0902E+07,0.29722,-0.051281,0.13234,-0.080686,181.15,396.06,J/kmol
Methyl chloride,416.2,K,6680000.0,Pa,0.143,m3/kmol,0.276,248.95,K,50.4875,0.05059,m3/kmol,0.151,-81960000.0,J/kmol,-58440000.0,J/kmol,-675380000.0,J/kmol,1.6672,0.24865,416.26,0.26843,175.43,416.25,kmol/m3,73.9511,-4332.35,-8.30842,1.32e-05,2.0,173.65,416.25,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,3.0406E+07,0.41721,-0.045158,-0.067629,0.055437,175.43,403.58,J/kmol
Methyl iodide,528.0,K,7370000.0,Pa,0.185,m3/kmol,0.311,315.58,K,141.939,0.062667,m3/kmol,0.19716,13000000.0,J/kmol,14700000.0,J/kmol,-709600000.0,J/kmol,1.3975,0.25854,528.0,0.2679,206.7,528.0,kmol/m3,56.5775,-4804.53,-5.23813,3.1e-06,2.0,204.8,528.0,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,3.3737E+07,-0.25822,1.7219,-2.0034,0.83642,206.7,528,J/kmol
Methane,190.56,K,4599000.0,Pa,0.0986,m3/kmol,0.286,111.66,K,16.0425,0.03554,m3/kmol,0.011,-74520000.0,J/kmol,-50490000.0,J/kmol,-802620000.0,J/kmol,1.894,0.23603,191.05,0.21974,90.68,191.04,kmol/m3,39.9884,-1337.31,-3.58005,3.21e-05,2.0,83.65,191.03,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,1.4418E+07,2.3055,-5.4199,5.658,-2.1286,90.67,190.55,J/kmol
Methanol,512.64,K,8097000.0,Pa,0.118,m3/kmol,0.224,337.69,K,32.0419,0.04073,m3/kmol,0.565,-200940000.0,J/kmol,-162320000.0,J/kmol,-638200000.0,J/kmol,1.7918,0.23929,512.64,0.21078,175.47,503.1,kmol/m3,73.4034,-6548.08,-7.40999,5.72e-06,2.0,175.47,512.64,Pa,46085,-1304.5,21.195,-0.015382,3.31e-05,83.8,135,J/kmol/K,20786,0.0,0.0,0.0,0.0,50.0,1500,J/kmol/K,-99.903,1347.5,17.615,-0.00032893,2,84.1,150.0,Pa.s,-0.30397,-0.82999,-0.71462,-0.00039294,-1.22e-05,80.0,150.0,W/m/K,0.00013095,0.81923,-122.33,13993,90.0,2000,W/m/K,5.8058E+07,0.87168,-0.81501,0.1695,0.17846,175.47,513.15,J/kmol
